date,region,product,customer_segment,channel,revenue,notes
2026-08-01,Multi-Region,MixedSuite,SMB,Digital,45049,"Conflicting pricing objections, slight marketing variance, holiday seasonality"
2026-08-02,Multi-Region,MixedSuite,SMB,Digital,45456,"Conflicting pricing objections, slight marketing variance, holiday seasonality"
2026-08-03,Multi-Region,MixedSuite,SMB,Digital,40847,"Conflicting pricing objections, slight marketing variance, holiday seasonality"
2026-08-04,Multi-Region,MixedSuite,SMB,Digital,35459,"Conflicting pricing objections, slight marketing variance, holiday seasonality"
2026-08-05,Multi-Region,MixedSuite,SMB,Digital,34246,"Conflicting pricing objections, slight marketing variance, holiday seasonality"
2026-08-06,Multi-Region,MixedSuite,SMB,Digital,38324,"Conflicting pricing objections, slight marketing variance, holiday seasonality"
2026-08-07,Multi-Region,MixedSuite,SMB,Digital,43942,"Conflicting pricing objections, slight marketing variance, holiday seasonality"
2026-08-08,Multi-Region,MixedSuite,SMB,Digital,45936,"Conflicting pricing objections, slight marketing variance, holiday seasonality"
2026-08-09,Multi-Region,MixedSuite,SMB,Digital,42473,"Conflicting pricing objections, slight marketing variance, holiday seasonality"
2026-08-10,Multi-Region,MixedSuite,SMB,Digital,36736,"Conflicting pricing objections, slight marketing variance, holiday seasonality"
2026-08-11,Multi-Region,MixedSuite,SMB,Digital,34000,"Conflicting pricing objections, slight marketing variance, holiday seasonality"
2026-08-12,Multi-Region,MixedSuite,SMB,Digital,36781,"Conflicting pricing objections, slight marketing variance, holiday seasonality"
2026-08-13,Multi-Region,MixedSuite,SMB,Digital,42521,"Conflicting pricing objections, slight marketing variance, holiday seasonality"
2026-08-14,Multi-Region,MixedSuite,SMB,Digital,45944,"Conflicting pricing objections, slight marketing variance, holiday seasonality"
2026-08-15,Multi-Region,MixedSuite,SMB,Digital,43902,"Conflicting pricing objections, slight marketing variance, holiday seasonality"
2026-08-16,Multi-Region,MixedSuite,SMB,Digital,38273,"Conflicting pricing objections, slight marketing variance, holiday seasonality"
2026-08-17,Multi-Region,MixedSuite,SMB,Digital,34232,"Conflicting pricing objections, slight marketing variance, holiday seasonality"
2026-08-18,Multi-Region,MixedSuite,SMB,Digital,35494,"Conflicting pricing objections, slight marketing variance, holiday seasonality"
2026-08-19,Multi-Region,MixedSuite,SMB,Digital,40899,"Conflicting pricing objections, slight marketing variance, holiday seasonality"
2026-08-20,Multi-Region,MixedSuite,SMB,Digital,45478,"Conflicting pricing objections, slight marketing variance, holiday seasonality"
2026-08-21,Multi-Region,MixedSuite,SMB,Digital,45020,"Conflicting pricing objections, slight marketing variance, holiday seasonality"
2026-08-22,Multi-Region,MixedSuite,SMB,Digital,39947,"Conflicting pricing objections, slight marketing variance, holiday seasonality"
2026-08-23,Multi-Region,MixedSuite,SMB,Digital,34923,"Conflicting pricing objections, slight marketing variance, holiday seasonality"
2026-08-24,Multi-Region,MixedSuite,SMB,Digital,34567,"Conflicting pricing objections, slight marketing variance, holiday seasonality"
2026-08-25,Multi-Region,MixedSuite,SMB,Digital,39206,"Conflicting pricing objections, slight marketing variance, holiday seasonality"
2026-08-26,Multi-Region,MixedSuite,SMB,Digital,44575,"Conflicting pricing objections, slight marketing variance, holiday seasonality"
2026-08-27,Multi-Region,MixedSuite,SMB,Digital,45738,"Conflicting pricing objections, slight marketing variance, holiday seasonality"
2026-08-28,Multi-Region,MixedSuite,SMB,Digital,41625,"Conflicting pricing objections, slight marketing variance, holiday seasonality"
2026-08-29,Multi-Region,MixedSuite,SMB,Digital,36018,"Conflicting pricing objections, slight marketing variance, holiday seasonality"
2026-08-30,Multi-Region,MixedSuite,SMB,Digital,34072,"Conflicting pricing objections, slight marketing variance, holiday seasonality"
