date,region,product,customer_segment,channel,revenue,units_sold
2026-08-01,APAC,NexusAI,Enterprise,Direct,11500,8
2026-08-02,APAC,NexusAI,Enterprise,Direct,14000,9
2026-08-03,APAC,NexusAI,Enterprise,Direct,12500,8
2026-08-04,APAC,NexusAI,Enterprise,Direct,15000,10
2026-08-05,APAC,NexusAI,Enterprise,Direct,13500,9
2026-08-06,APAC,NexusAI,Enterprise,Direct,16000,11
2026-08-07,APAC,NexusAI,Enterprise,Direct,14500,10
2026-08-08,APAC,NexusAI,Enterprise,Direct,17000,11
2026-08-09,APAC,NexusAI,Enterprise,Direct,15500,10
2026-08-10,APAC,NexusAI,Enterprise,Direct,18000,12
2026-08-11,APAC,NexusAI,Enterprise,Direct,16500,11
2026-08-12,APAC,NexusAI,Enterprise,Direct,19000,13
2026-08-13,APAC,NexusAI,Enterprise,Direct,17500,12
2026-08-14,APAC,NexusAI,Enterprise,Direct,20000,13
2026-08-15,APAC,NexusAI,Enterprise,Direct,18500,12
2026-08-16,APAC,NexusAI,Enterprise,Direct,21000,14
2026-08-17,APAC,NexusAI,Enterprise,Direct,19500,13
2026-08-18,APAC,NexusAI,Enterprise,Direct,22000,15
